name,price,originalPrice,description,image,category,features,inStock,featured
Leather Watch Band,29.99,39.99,Premium genuine leather watch band compatible with most watches,https://images.unsplash.com/photo-1524592094714-0f0654e20314?w=400,Accessories,Genuine Leather;Multiple Colors;Easy Installation,true,false
Wireless Phone Charger,24.99,34.99,Fast wireless charging pad for all Qi-enabled devices,https://images.unsplash.com/photo-1583394838336-acd977736f90?w=400,Accessories,15W Fast Charging;LED Indicator;Non-slip Base,true,true
Bluetooth Key Finder,19.99,24.99,Smart key finder with GPS tracking and phone app,https://images.unsplash.com/photo-1558618666-fcd25c85cd64?w=400,Accessories,GPS Tracking;Loud Alarm;Replaceable Battery,true,false
Premium Sunglasses,89.99,119.99,Polarized sunglasses with UV400 protection,https://images.unsplash.com/photo-1511499767150-a48a237f0083?w=400,Accessories,UV400 Protection;Polarized Lenses;Scratch Resistant,true,true
Crossbody Phone Case,34.99,44.99,Stylish crossbody phone case with adjustable strap,https://images.unsplash.com/photo-1556656793-08538906a9f8?w=400,Accessories,Adjustable Strap;Card Slots;Drop Protection,true,false
Travel Passport Holder,16.99,21.99,RFID blocking passport holder with multiple card slots,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=400,Accessories,RFID Blocking;Multiple Slots;Compact Design,true,false
Wireless Mouse Pad,39.99,49.99,RGB gaming mouse pad with wireless charging zone,https://images.unsplash.com/photo-1527864550417-7fd91fc51a46?w=400,Accessories,RGB Lighting;Wireless Charging;Large Surface,true,true
Phone Ring Holder,12.99,17.99,360-degree rotating phone ring with magnetic car mount,https://images.unsplash.com/photo-1512499617640-c74ae3a79d37?w=400,Accessories,360° Rotation;Magnetic Mount;Strong Adhesive,true,false
Portable Phone Stand,22.99,29.99,Adjustable aluminum phone stand for desk use,https://images.unsplash.com/photo-1555774698-0b77e0d5fac6?w=400,Accessories,Adjustable Angle;Aluminum Build;Non-slip Base,true,false
Cable Organizer Set,14.99,19.99,Premium cable management kit with various organizers,https://images.unsplash.com/photo-1558618666-fcd25c85cd64?w=400,Accessories,Multiple Sizes;Reusable;Tangle-free Design,true,false
Vitamin C Serum,28.99,39.99,20% Vitamin C serum for brightening and anti-aging,https://images.unsplash.com/photo-1556228720-195a672e8a03?w=400,Beauty & Personal Care,20% Vitamin C;Hyaluronic Acid;Dermatologist Tested,true,true
Retinol Night Cream,34.99,49.99,Anti-aging night cream with retinol and peptides,https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?w=400,Beauty & Personal Care,Retinol Complex;Peptides;Paraben Free,true,false
Cleansing Oil,22.99,32.99,Gentle cleansing oil that removes makeup and impurities,https://images.unsplash.com/photo-1556228578-dd6f4c369c93?w=400,Beauty & Personal Care,Removes Waterproof Makeup;Natural Oils;Suitable for All Skin Types,true,true
Hydrating Face Mask,18.99,24.99,Sheet mask set with hyaluronic acid for deep hydration,https://images.unsplash.com/photo-1570194065650-d99fb4bedf0a?w=400,Beauty & Personal Care,Hyaluronic Acid;10 Pack;Cruelty Free,true,false
Organic Lip Balm Set,15.99,21.99,Set of 3 organic lip balms with different flavors,https://images.unsplash.com/photo-1596462502278-27bfdc403348?w=400,Beauty & Personal Care,Organic Ingredients;3 Flavors;SPF Protection,true,false
Exfoliating Body Scrub,26.99,36.99,Coffee-based body scrub for smooth and glowing skin,https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?w=400,Beauty & Personal Care,Coffee Extract;Dead Sea Salt;Moisturizing Oils,true,true
Hair Growth Shampoo,31.99,41.99,Biotin-enriched shampoo for stronger and thicker hair,https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?w=400,Beauty & Personal Care,Biotin Complex;Sulfate Free;Natural Ingredients,true,false
Makeup Brush Set,42.99,59.99,Professional 12-piece makeup brush set with case,https://images.unsplash.com/photo-1596462502278-27bfdc403348?w=400,Beauty & Personal Care,12 Brushes;Synthetic Bristles;Travel Case,true,true
Nail Care Kit,19.99,27.99,Complete nail care kit with tools and treatments,https://images.unsplash.com/photo-1570194065650-d99fb4bedf0a?w=400,Beauty & Personal Care,Professional Tools;Base & Top Coat;Cuticle Oil,true,false
Beard Oil,24.99,32.99,Premium beard oil blend for softening and conditioning,https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?w=400,Beauty & Personal Care,Argan Oil;Jojoba Oil;Natural Fragrance,true,false
Gaming Laptop,1299.99,1599.99,High-performance gaming laptop with RTX graphics,https://images.unsplash.com/photo-1496181133206-80ce9b88a853?w=400,Computers,RTX 4060;16GB RAM;1TB SSD,true,true
Wireless Mechanical Keyboard,129.99,159.99,RGB mechanical keyboard with tactile switches,https://images.unsplash.com/photo-1541140532154-b024d705b90a?w=400,Computers,Mechanical Switches;RGB Backlighting;Wireless,true,false
